station,lat,lon
1001,40.09068,116.17355
1002,40.00395,116.20531
1003,39.91441,116.18424
1004,39.81513,116.17115
1005,39.742767,116.13605
1006,39.987312,116.28745
1007,39.98205,116.3974
1008,39.95405,116.34899
1009,39.878193,116.351974
1010,39.876183,116.39401
1011,39.855957,116.36781
1012,39.93712,116.46074
1013,39.929287,116.416885
1014,39.939552,116.48375
1015,39.929302,116.35103
1016,39.86347,116.27908
1017,39.718147,116.40616
1018,39.79449,116.50632
1019,39.885242,116.66416
1020,39.88649,116.40736
1021,39.899136,116.395386
1022,39.920994,116.44345
1023,40.127,116.655
1024,40.217,116.23
1025,39.937,116.106
1026,40.143,117.1
1027,40.328,116.628
1028,40.37,116.832
1029,40.453,115.972
1030,40.292,116.22
1031,40.365,115.988
1032,40.499,116.911
1033,40.1,117.12
1034,39.712,116.783
1035,39.52,116.3
1036,39.579998,116.0
