station,lat,lon
APEC,43.55846,12.41991
ATCC,43.18514,12.63994
ATFO,43.3666,12.5715
ATLO,43.31516,12.40726
ATPC,43.4807,12.457
ATTE,43.1979,12.3536
ATVO,43.38211,12.40663
CADA,43.1942,13.7614
CIMA,43.305297,13.670091
FEMA,42.9621,13.04976
FIAM,42.26802,13.11718
FIU1,43.188561,12.931604
GAG1,43.238063,13.067434
GUMA,43.0627,13.3352
INTR,42.01154,13.9046
MDAR,43.1927,13.1427
MMUR,43.44183,12.9973
MNTP,43.137378,13.469252
MPAG,43.6292,12.7595
MURB,43.263,12.5246
PCRO,43.60768,13.53233
PIEI,43.53567,12.535
PIO1,43.178198,12.983759
PP3,43.37783,13.6095
RM33,42.50898,13.21452
SEF1,43.14683,12.94762
SENI,43.7052,13.2331
SNTG,43.255,12.94057
T1201,42.6573,13.2508
T1211,42.532852,12.855145
T1212,42.751556,13.044636
T1214,42.759537,13.208697
T1215,42.80188,12.868511
T1216,42.890667,13.019
T1218,42.669983,13.115224
T1243,42.69657,13.44839
T1244,42.75697,13.29779
TERO,42.62279,13.60393
TRE1,43.311198,13.312848
