station,lat,lon
ASQU,43.7967,11.7893
ATBU,43.4757,12.5483
ATFO,43.3666,12.5715
ATMC,43.4468,12.1928
ATPC,43.4807,12.457
ATVO,43.3821,12.4066
BDI,44.0624,10.597
BOB,44.7679,9.4478
CAFI,43.3292,11.9663
CARD,44.026,10.4821
CASP,42.7908,10.8652
CAVE,44.8658,11.0031
CPGN,43.8011,12.3205
CRMI,43.7956,10.9795
FIR,43.7744,11.2551
FROS,43.2097,11.1562
GORR,44.6071,9.2926
GRAM,44.4913,10.0658
IMOL,44.3595,11.7425
MAIM,43.9142,10.4915
MAON,42.4283,11.1309
MGAB,42.9126,12.1121
MILN,45.4803,9.2321
MMUR,43.4418,12.9973
MNTV,45.1495,10.7897
MODE,44.6297,10.9492
MPAG,43.6292,12.7595
MSSA,44.3162,9.5174
MTRZ,44.3128,11.4248
MURB,43.263,12.5246
ORZI,45.4056,9.9307
PII,43.7219,10.525
PRMA,44.7637,10.3131
RMP,41.8111,12.7022
SACS,42.8491,11.9097
SNTG,43.255,12.9406
TRIF,43.1148,10.9026
VLC,44.1594,10.3864
ZCCA,44.3509,10.9765
